database,query_id,round_num,start_time,end_time,elapsed_ms,row_count,result_hash,success,error_message
YMatrix,q12,3,2026-08-04T04:05:26.468+00:00,2026-08-04T04:05:26.522+00:00,52.84,2,eff0114ecfe105cd72843038cb84bcc3fac7bf1f70ec22e5b279e9bc5f49021c,True,
YMatrix,q6,3,2026-08-04T04:05:26.523+00:00,2026-08-04T04:05:26.550+00:00,24.75,1,2cdce46c156af217b6a76401d58b94624f8493520129e4b1e90830abc0643712,True,
YMatrix,q7,3,2026-08-04T04:05:26.551+00:00,2026-08-04T04:05:26.582+00:00,30.03,4,6716e14755d4f5d95a6646ea58876b2b4239017cb84cf14b281ca4bdea3a394b,True,
YMatrix,q17,3,2026-08-04T04:05:26.582+00:00,2026-08-04T04:05:26.744+00:00,158.29,1,9a3d1f3f694155da1dc0635e8777f636e07f15f895916bc0328a0fdce877187f,True,
YMatrix,q20,3,2026-08-04T04:05:26.744+00:00,2026-08-04T04:05:27.008+00:00,262.58,9,103b073204ade8735df56b98bd5f8d4bcc5117a308cea568948ab9c1ae73f66b,True,
YMatrix,q5,3,2026-08-04T04:05:27.008+00:00,2026-08-04T04:05:27.082+00:00,56.63,5,92e68b5940711975eadfef9cebcb6626c1b529a23731481d64f34508cc256489,True,
YMatrix,q21,3,2026-08-04T04:05:27.082+00:00,2026-08-04T04:05:27.157+00:00,72.51,47,86efdec346cfebe32bacff5819615897f64fddcba4af9d82f5de544798cd2962,True,
YMatrix,q15,3,2026-08-04T04:05:27.157+00:00,2026-08-04T04:05:27.206+00:00,47.82,1,2696a2b1087e0db9ee3147b7dd4aa013894d005203cbc28cee3b704d7daded4a,True,
YMatrix,q8,3,2026-08-04T04:05:27.207+00:00,2026-08-04T04:05:27.318+00:00,107.53,2,c60f2018a2cde9154f10ae17f3359590459867a81d2726859d9d85bad7e23aff,True,
YMatrix,q2,3,2026-08-04T04:05:27.321+00:00,2026-08-04T04:05:27.387+00:00,61.47,44,d7c945bcad8db1ca27d3ba6d14645d189d8cbf2e2ceac247d95e4cdc8f5ed661,True,
YMatrix,q1,3,2026-08-04T04:05:27.387+00:00,2026-08-04T04:05:27.521+00:00,129.18,4,4a63e850889beb8075f235a4ed15f79e0d08baf28d73d388c6b16b0106ddefe7,True,
YMatrix,q11,3,2026-08-04T04:05:27.521+00:00,2026-08-04T04:05:27.616+00:00,68.85,2541,3db7d53827190857328a4fdc4d52c9fa4bf0a5716ac267623c1e7ef6459a4373,True,
YMatrix,q10,3,2026-08-04T04:05:27.616+00:00,2026-08-04T04:05:27.894+00:00,274.28,20,77da45dd0218922612cd92c6f16e238b4184b43e42c5a0d1a3c37503d4954092,True,
YMatrix,q3,3,2026-08-04T04:05:27.895+00:00,2026-08-04T04:05:27.950+00:00,37.02,10,488b5292812c953c6be9763511c856b3e10b11829deb30c1bb1f505ba568402b,True,
YMatrix,q22,3,2026-08-04T04:05:27.950+00:00,2026-08-04T04:05:27.992+00:00,40.34,7,fdfb6921ca2a1f59f2b8b250a64d637c968d0f223b7ec6c5e4560f860a53180c,True,
YMatrix,q16,3,2026-08-04T04:05:27.992+00:00,2026-08-04T04:05:28.029+00:00,29.27,2762,9681ce56918cd7141173026d87c26c9fd87afc62c46b45a2dbc5be1ef159a9b1,True,
YMatrix,q14,3,2026-08-04T04:05:28.030+00:00,2026-08-04T04:05:28.055+00:00,23.99,1,cc146f704c1fe2fd031ef46c782a668650161668ef04b4cb6850fe029f576d66,True,
