arithmetic_mean_speedup,base_avg_ms,base_database,base_median_ms,base_p95_ms,base_success_rate,base_wins,faster,geomean_speedup,median_speedup,other_avg_ms,other_database,other_median_ms,other_p95_ms,other_success_rate,other_wins,query_count,query_id,record_type,speedup,ties,total_time_ratio
3.6493859090909093,,YMatrix,,,1.0,18,,2.4671752811995034,2.3186999999999998,,Greenplum,,,1.0,4,22,,overall,,0,2.30829829002166
1.031447090909091,,YMatrix,,,1.0,11,,0.7817878564609463,0.954253,,PostgreSQL,,,1.0,11,22,,overall,,0,0.6964953306583747
3.5127897727272726,,YMatrix,,,1.0,15,,2.0014029295631417,2.866303,,MySQL,,,1.0,7,22,,overall,,0,2.28498455388892
,141.16,YMatrix,147.92,156.39,1.0,,YMatrix,,,514.78,Greenplum,430.58,787.37,1.0,,,q1,query,2.910898,,
,285.15,YMatrix,274.28,319.81,1.0,,Greenplum,,,150.19,Greenplum,146.71,159.66,1.0,,,q10,query,0.534891,,
,87.19,YMatrix,68.85,138.36,1.0,,YMatrix,,,155.82,Greenplum,157.32,161.76,1.0,,,q11,query,2.284967,,
,63.54,YMatrix,53.7,81.11,1.0,,YMatrix,,,74.96,Greenplum,65.41,93.65,1.0,,,q12,query,1.218063,,
,48.99,YMatrix,48.55,57.71,1.0,,YMatrix,,,121.02,Greenplum,69.8,282.6,1.0,,,q13,query,1.437693,,
,26.55,YMatrix,23.99,38.83,1.0,,YMatrix,,,28.86,Greenplum,28.48,32.73,1.0,,,q14,query,1.187161,,
,46.21,YMatrix,47.82,51.79,1.0,,Greenplum,,,40.27,Greenplum,39.71,46.22,1.0,,,q15,query,0.830406,,
,25.71,YMatrix,25.48,28.74,1.0,,YMatrix,,,63.0,Greenplum,59.94,72.56,1.0,,,q16,query,2.352433,,
,126.22,YMatrix,121.84,151.85,1.0,,YMatrix,,,172.38,Greenplum,172.61,185.38,1.0,,,q17,query,1.416694,,
,411.5,YMatrix,417.6,457.32,1.0,,Greenplum,,,368.83,Greenplum,315.04,558.63,1.0,,,q18,query,0.754406,,
,7.26,YMatrix,6.91,8.73,1.0,,YMatrix,,,75.75,Greenplum,70.35,89.99,1.0,,,q19,query,10.180897,,
,70.39,YMatrix,69.49,84.12,1.0,,YMatrix,,,484.47,Greenplum,453.81,557.08,1.0,,,q2,query,6.53058,,
